model,accuracy,precision,recall,f1_score,auc
logistic_regression,0.8623188405797102,0.828125,0.8688524590163934,0.848,0.9574196295507771
svm_rbf,0.8913043478260869,0.8285714285714286,0.9508196721311475,0.8854961832061069,0.9546519054715776
knn,0.8260869565217391,0.8490566037735849,0.7377049180327869,0.7894736842105263,0.91260378965297
